Complited in 3.376581
a[32][79] = 82378.1, 
a[32][80] = 87270.5, 
a[32][81] = 92295.9, 
a[32][82] = 97450.9, 
a[32][83] = 102733, 
a[32][84] = 108139, 
a[32][85] = 113665, 
a[32][86] = 119308, 
a[32][87] = 125064, 
a[32][88] = 130931, 
a[32][89] = 136904, 
a[32][90] = 142980, 
a[32][91] = 149155, 
a[32][92] = 155426, 
a[32][93] = 161789, 
a[32][94] = 168241, 
a[32][95] = 174778, 
a[32][96] = 181395, 
a[32][97] = 188091, 
a[32][98] = 194860, 
a[32][99] = 201701, 

a[40][0] = 0.0243902, 
a[40][1] = 0.0116144, 
a[40][2] = 0.00351133, 
a[40][3] = 0.000909754, 
a[40][4] = 0.00021372, 
a[40][5] = 4.64609e-05, 
a[40][6] = 9.43596e-06, 
a[40][7] = 1.79949e-06, 
a[40][8] = 3.23173e-07, 
a[40][9] = 5.47509e-08, 
a[40][10] = 8.76468e-09, 
a[40][11] = 1.34862e-09, 
a[40][12] = 2.65305e-10, 
a[40][13] = 5.26906e-11, 
a[40][14] = 3.02599e-10, 
a[40][15] = 1.58506e-11, 
a[40][16] = 7.18234e-11, 
a[40][17] = 5.46141e-12, 
a[40][18] = 3.34394e-11, 
a[40][19] = -4.2004e-14, 
a[40][20] = 2.37717e-12, 
a[40][21] = 3.59201e-12, 
a[40][22] = 5.19114e-13, 
a[40][23] = 4.06759e-14, 
a[40][24] = 2.15341e-13, 
a[40][25] = 9.70154e-13, 
a[40][26] = -9.18748e-13, 
a[40][27] = 7.44051e-14, 
a[40][28] = 2.21911e-12, 
a[40][29] = 2.86391e-14, 
a[40][30] = 1.99319e-14, 
a[40][31] = 6.8331e-15, 
a[40][32] = -5.64477e-15, 
a[40][33] = -9.65372e-15, 
a[40][34] = -8.11421e-15, 
a[40][35] = 2.88888e-15, 
a[40][36] = 7.40938e-15, 
a[40][37] = 5.78353e-16, 
a[40][38] = -6.6651e-17, 
a[40][39] = -4.47562e-16, 
a[40][40] = -4.84739e-17, 
a[40][41] = 0.378192, 
a[40][42] = 1.50343, 
a[40][43] = 1.90476, 
a[40][44] = 1.83622, 
a[40][45] = 1.22073, 
a[40][46] = -0.898933, 
a[40][47] = -6.6816, 
a[40][48] = -15.048, 
a[40][49] = -27.8419, 
a[40][50] = -44.0933, 
a[40][51] = -68.0014, 
a[40][52] = -101.474, 
a[40][53] = -143.224, 
a[40][54] = -194.824, 
a[40][55] = -260.196, 
a[40][56] = -339.896, 
a[40][57] = -435.93, 
a[40][58] = -551.017, 
a[40][59] = -684.462, 
a[40][60] = -842.202, 
a[40][61] = -1022.23, 
a[40][62] = -1228.86, 
a[40][63] = -1464.62, 
a[40][64] = -1729.46, 
a[40][65] = -2026.51, 
a[40][66] = -2358.21, 
a[40][67] = -2723.57, 
a[40][68] = -3128.72, 
a[40][69] = -3572.35, 
a[40][70] = -4057.09, 
a[40][71] = -4584.54, 
a[40][72] = -5155.52, 
a[40][73] = -5773.2, 
a[40][74] = -6437.08, 
a[40][75] = -7148.87, 
a[40][76] = -7908.75, 
a[40][77] = -8721.66, 
a[40][78] = -9584.77, 
a[40][79] = -10499.6, 
a[40][80] = -11468, 
a[40][81] = -12490.1, 
a[40][82] = -13567.3, 
a[40][83] = -14697.8, 
a[40][84] = -15884.3, 
a[40][85] = -17126.5, 
a[40][86] = -18424.6, 
a[40][87] = -19779.7, 
a[40][88] = -21189.8, 
a[40][89] = -22656.2, 
a[40][90] = -24178.9, 
a[40][91] = -25757.6, 
a[40][92] = -27392.3, 
a[40][93] = -29082, 
a[40][94] = -30828, 
a[40][95] = -32627.3, 
a[40][96] = -34482.2, 
a[40][97] = -36390.2, 
a[40][98] = -38352.6, 
a[40][99] = -40367, 

a[48][0] = 0.0204082, 
a[48][1] = 0.00979592, 
a[48][2] = 0.0030092, 
a[48][3] = 0.000798596, 
a[48][4] = 0.00019373, 
a[48][5] = 4.38483e-05, 
a[48][6] = 9.34946e-06, 
a[48][7] = 1.88787e-06, 
a[48][8] = 3.62118e-07, 
a[48][9] = 6.61086e-08, 
a[48][10] = 1.15081e-08, 
a[48][11] = 1.94143e-09, 
a[48][12] = 4.14895e-10, 
a[48][13] = 9.37537e-11, 
a[48][14] = 5.23922e-10, 
a[48][15] = 3.26908e-11, 
a[48][16] = 1.44106e-10, 
a[48][17] = 1.2618e-11, 
a[48][18] = 7.4884e-11, 
a[48][19] = 6.64138e-13, 
a[48][20] = 6.17443e-12, 
a[48][21] = 1.02904e-11, 
a[48][22] = 1.65106e-12, 
a[48][23] = 8.30658e-13, 
a[48][24] = 8.62791e-13, 
a[48][25] = 3.87619e-12, 
a[48][26] = -3.84932e-12, 
a[48][27] = 3.64768e-13, 
a[48][28] = 1.09326e-11, 
a[48][29] = 1.60635e-13, 
a[48][30] = 1.34633e-13, 
a[48][31] = 6.87208e-14, 
a[48][32] = -7.37536e-14, 
a[48][33] = -1.05712e-13, 
a[48][34] = -8.93285e-14, 
a[48][35] = 5.14276e-14, 
a[48][36] = 1.38117e-13, 
a[48][37] = 1.30994e-14, 
a[48][38] = 1.03387e-15, 
a[48][39] = -1.91511e-14, 
a[48][40] = 1.24396e-16, 
a[48][41] = 3.07297e-15, 
a[48][42] = 3.6568e-16, 
a[48][43] = -1.49867e-16, 
a[48][44] = -7.38316e-16, 
a[48][45] = -3.26377e-16, 
a[48][46] = -2.30666e-16, 
a[48][47] = -1.44168e-16, 
a[48][48] = -1.03743e-17, 
a[48][49] = 0.687492, 
a[48][50] = -2.2354, 
a[48][51] = -5.81629, 
a[48][52] = -11.3488, 
a[48][53] = -16.0819, 
a[48][54] = -25.8451, 
a[48][55] = -39.2847, 
a[48][56] = -56.2047, 
a[48][57] = -77.1735, 
a[48][58] = -106.286, 
a[48][59] = -143.66, 
a[48][60] = -186.773, 
a[48][61] = -241.637, 
a[48][62] = -306.542, 
a[48][63] = -386.058, 
a[48][64] = -479.097, 
a[48][65] = -586.335, 
a[48][66] = -712.557, 
a[48][67] = -855.43, 
a[48][68] = -1020.45, 
a[48][69] = -1208.2, 
a[48][70] = -1418.92, 
a[48][71] = -1655.32, 
a[48][72] = -1919.51, 
a[48][73] = -2212.34, 
a[48][74] = -2534.58, 
a[48][75] = -2889.86, 
a[48][76] = -3281.85, 
