Complited in 0.996132
a[18][49] = 0.0369708, 

a[22][0] = 0.0416667, 
a[22][1] = 0.0176282, 
a[22][2] = 0.048286, 
a[22][3] = 0.00830314, 
a[22][4] = 0.00255104, 
a[22][5] = 0.00125725, 
a[22][6] = 0.000369453, 
a[22][7] = 3.8703e-05, 
a[22][8] = 9.61233e-06, 
a[22][9] = 2.47483e-06, 
a[22][10] = 2.65145e-07, 
a[22][11] = 1.67733e-08, 
a[22][12] = 1.47468e-09, 
a[22][13] = 6.86549e-11, 
a[22][14] = 3.31401e-12, 
a[22][15] = 4.64373e-12, 
a[22][16] = 6.67549e-13, 
a[22][17] = 3.79571e-13, 
a[22][18] = 4.569e-13, 
a[22][19] = 2.818e-14, 
a[22][20] = 1.93839e-15, 
a[22][21] = 1.15142e-15, 
a[22][22] = 6.67919e-17, 
a[22][23] = 0.0667943, 
a[22][24] = 0.511237, 
a[22][25] = 0.111849, 
a[22][26] = 0.346407, 
a[22][27] = -0.159789, 
a[22][28] = 0.217476, 
a[22][29] = 0.534903, 
a[22][30] = -0.192831, 
a[22][31] = -1.04606, 
a[22][32] = -0.110667, 
a[22][33] = -0.501179, 
a[22][34] = -0.0557024, 
a[22][35] = -0.247213, 
a[22][36] = -0.839899, 
a[22][37] = 0.0281053, 
a[22][38] = -1.59885, 
a[22][39] = -0.732046, 
a[22][40] = 0.457123, 
a[22][41] = -0.0477312, 
a[22][42] = -0.155785, 
a[22][43] = -0.160196, 
a[22][44] = -1.02326, 
a[22][45] = -0.362725, 
a[22][46] = -0.254502, 
a[22][47] = -0.242546, 
a[22][48] = -0.0879593, 
a[22][49] = -1.2076, 

a[26][0] = 0.0357143, 
a[26][1] = 0.0154762, 
a[26][2] = 0.0429894, 
a[26][3] = 0.00798375, 
a[26][4] = 0.00278658, 
a[26][5] = 0.00147507, 
a[26][6] = 0.000461595, 
a[26][7] = 5.72632e-05, 
a[26][8] = 1.569e-05, 
a[26][9] = 4.75178e-06, 
a[26][10] = 5.91762e-07, 
a[26][11] = 4.62836e-08, 
a[26][12] = 4.89621e-09, 
a[26][13] = 2.89942e-10, 
a[26][14] = 1.83092e-11, 
a[26][15] = 3.00864e-11, 
a[26][16] = 4.53657e-12, 
a[26][17] = 5.02213e-12, 
a[26][18] = 6.56359e-12, 
a[26][19] = 4.83223e-13, 
a[26][20] = 7.20632e-15, 
a[26][21] = 5.08331e-14, 
a[26][22] = 9.74328e-15, 
a[26][23] = 8.01391e-15, 
a[26][24] = 8.83497e-16, 
a[26][25] = 1.17199e-16, 
